anime_name,rating,watch_year,times_watched,accessibility,release_year,mal_rating,url
Great Pretender,8.48,2020,1,6,2020,8.21,https://myanimelist.net/anime/40052/Great_Pretender
Maquia: When the Promised Flower Blooms,8.47,2020,1,6,2018,8.39,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
Yahari Ore no Seishun Love Comedy wa Machigatteiru,8.44,2019,1,6,2013,8.00,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru
Dorohedoro,8.43,2020,2,7,2020,8.05,https://myanimelist.net/anime/38668/Dorohedoro
ACCA: 13-Territory Inspection Dept.,8.42,2020,1,6,2017,7.66,https://myanimelist.net/anime/33337/ACCA__13-ku_Kansatsu-ka
Hell's Paradise,8.41,2023,1,4,2023,8.12,https://myanimelist.net/anime/46569/Jigokuraku
Your Name,8.39,2020,1,1,2016,8.84,https://myanimelist.net/anime/32281/Kimi_no_Na_wa?q=kimi%20no%20na%20wa
Detroit Metal City,8.38,2022,1,7,2008,8.10,https://myanimelist.net/anime/3702/Detroit_Metal_City
I Want to Eat Your Pancreas,8.36,2020,2,4,2018,8.55,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai?q=i%20want%20to%20
Vanitas no Carte,8.36,2021,1,6,2021,7.90,https://myanimelist.net/anime/48580/Vanitas_no_Karte?q=vanitas&cat=anime
Grand Blue,8.35,2020,1,4,2018,8.43,https://myanimelist.net/anime/37105/Grand_Blue
Spy x Family *,8.33,2022,1,2,2022,8.55,https://myanimelist.net/anime/50265/Spy_x_Family
Daily Lives of High School Boys,8.31,2021,1,5,2012,8.23,https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou?q=daily
The Melancholy of Haruhi Suzumiya *,8.30,2022,1,8,2006,7.83,https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu
Kara no Kyoukai,8.28,2021,1,8,2007,7.57,https://myanimelist.net/anime/2593/Kara_no_Kyoukai_1__Fukan_Fuukei
Death Parade,8.28,2020,1,5,2015,8.15,https://myanimelist.net/anime/28223/Death_Parade
Sakamichi no Apollon,8.25,2021,1,7,2012,8.30,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon/
Asobi Asobase,8.24,2021,1,5,2019,8.19,https://myanimelist.net/anime/37171/Asobi_Asobase
Black Lagoon,8.23,2021,1,7,2006,8.03,https://myanimelist.net/anime/889/Black_Lagoon?q=black&cat=anime
A Place Further Than The Universe,8.22,2022,2,5,2018,8.52,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
Bleach,8.20,2022,1,1,2004,7.94,https://myanimelist.net/anime/269/Bleach
Dororo,8.18,2020,1,6,2018,8.25,https://myanimelist.net/anime/37520/Dororo?q=Doro
Haikyuu!!,8.18,2020,1,2,2014,8.44,https://myanimelist.net/anime/20583/Haikyuu?q=haikyuu
Bocchi the Rock!,8.15,2022,2,6,2022,8.80,https://myanimelist.net/anime/47917/Bocchi_the_Rock
Hellsing,8.13,2022,1,7,2006,8.35,https://myanimelist.net/anime/777/Hellsing_Ultimate
Perfect Blue,8.09,2021,2,7,1998,8.54,https://myanimelist.net/anime/437/Perfect_Blue
Weathering With You,8.07,2020,1,2,2019,8.28,https://myanimelist.net/anime/38826/Tenki_no_Ko?q=weathering
Heavenly Delusion,8.05,2023,1,6,2023,8.22,https://myanimelist.net/anime/53393/Tengoku_Daimakyou
Miss Kobayashi's Dragon Maid,8.05,2021,1,3,2017,7.95,https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon
Parasyte,8.03,2020,1,2,2014,8.33,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
Kono Oto Tomare!,8.00,2021,1,6,2019,7.93,https://myanimelist.net/anime/38080/Kono_Oto_Tomare
No Game No Life,7.99,2020,1,3,2014,8.07,https://myanimelist.net/anime/19815/No_Game_No_Life?q=no%20game
Arakawa Under the Bridge,7.98,2022,1,8,2010,7.56,https://myanimelist.net/anime/7647/Arakawa_Under_the_Bridge
The Disastrous Life of Saiki K.,7.96,2020,1,3,2016,8.41,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_%CE%A8-nan?q=Saiki&cat=anime
Rainbow: Nisha Rokubou no Shichinin,7.95,2023,1,6,2010,8.47,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin?q=rainbow&cat=anime
Hanasaku Iroha,7.93,2020,1,7,2011,7.90,https://myanimelist.net/anime/9289/Hanasaku_Iroha
Saga of Tanya the Evil,7.91,2021,1,5,2017,7.96,https://myanimelist.net/anime/32615/Youjo_Senki
Hinamatsuri,7.89,2020,1,5,2018,8.13,https://myanimelist.net/anime/36296/Hinamatsuri
Zetsuen no Tempest,7.87,2022,1,7,2012,7.90,https://myanimelist.net/anime/14075/Zetsuen_no_Tempest
Black Clover,7.86,2022,1,2,2017,8.15,https://myanimelist.net/anime/34572/Black_Clover
Akira,7.84,2022,1,8,1988,8.16,https://myanimelist.net/anime/47/Akira
My Dress-Up Darling,7.82,2022,1,4,2022,8.20,https://myanimelist.net/anime/48736/Sono_Bisque_Doll_wa_Koi_wo_Suru
Kekkai Sensen,7.81,2020,1,6,2015,7.60,https://myanimelist.net/anime/24439/Kekkai_Sensen
Sakurasou no Pet na Kanojo,7.79,2019,1,3,2012,8.07,https://myanimelist.net/anime/13759/Sakura-sou_no_Pet_na_Kanojo?q=sakurasou
Yofukashi no Uta,7.77,2022,1,5,2022,7.98,https://myanimelist.net/anime/50346/Yofukashi_no_Uta
Welcome to the Ballroom,7.76,2023,1,5,2017,8.18,https://myanimelist.net/anime/34636/Ballroom_e_Youkoso
