anime_name,rating,watch_year,times_watched,accessibility,release_year,mal_rating,url
Overlord *,6.18,2020,1,3,2015,7.91,https://myanimelist.net/anime/29803/Overlord
Shiki,6.17,2020,1,7,2010,7.73,https://myanimelist.net/anime/7724
Tomo-chan wa Onnanoko!,6.16,2023,1,4,2023,7.80,https://myanimelist.net/anime/52305/Tomo-chan_wa_Onnanoko
A Galaxy Next Door,6.15,2023,1,5,2023,7.14,https://myanimelist.net/anime/51705/Otonari_ni_Ginga
Lovely★Complex *,6.14,2019,0.5,4,2007,8.03,https://myanimelist.net/anime/2034/Lovely%E2%98%85Complex
Gokushufudou *,6.13,2022,1,5,2021,7.24,https://myanimelist.net/anime/43692/Gokushufudou
Sword Art Online,6.11,2019,1,1,2012,7.20,https://myanimelist.net/anime/11757/Sword_Art_Online?q=sword
Shinigami Bocchan to Kuro Maid,6.10,2022,1,5,2021,7.60,https://myanimelist.net/anime/47257/Shinigami_Bocchan_to_Kuro_Maid
"Natsu e no Tunnel, Sayonara no Deguchi",6.09,2023,1,5,2022,7.88,https://myanimelist.net/anime/50593/Natsu_e_no_Tunnel_Sayonara_no_Deguchi
Adachi to Shimamura ,6.08,2020,1,7,2020,7.10,https://myanimelist.net/anime/39790/Adachi_to_Shimamura
Blood Lad,6.07,2020,1,5,2013,7.25,https://myanimelist.net/anime/11633/Blood_Lad?q=blood%20lad
Senpai ga Uzai Kouhai no Hanashi,6.06,2021,1,5,2021,7.58,https://myanimelist.net/anime/42351/Senpai_ga_Uzai_Kouhai_no_Hanashi
Blend S,6.06,2020,1,4,2017,7.26,https://myanimelist.net/anime/34618/Blend_S
Dance Dance Danseur,6.05,2022,1,5,2022,7.85,https://myanimelist.net/anime/48702/Dance_Dance_Danseur
My Happy Marriage,6.04,2023,1,4,2023,7.78,https://myanimelist.net/anime/51552/Watashi_no_Shiawase_na_Kekkon
Akudama Drive,6.03,2020,1,6,2020,7.59,https://myanimelist.net/anime/41433/Akudama_Drive
Dimension W,6.02,2022,1,4,2016,7.18,https://myanimelist.net/anime/31163/Dimension_W?q=dimension&cat=anime
Wonder Egg Priority,6.02,2021,1,7,2021,7.60,https://myanimelist.net/anime/43299/Wonder_Egg_Priority
Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai,5.99,2021,1,5,2019,7.23,https://myanimelist.net/anime/29786/Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai
In/Spectre,5.98,2020,1,6,2020,6.92,https://myanimelist.net/anime/39017/Kyokou_Suiri?q=kyouko%20suiri
Seijo no Maryoku wa Bannou desu,5.96,2023,1,6,2021,7.30,https://myanimelist.net/anime/42826/Seijo_no_Maryoku_wa_Bannou_desu
Otome Game Sekai wa Mob ni Kibishii Sekai desu,5.96,2022,1,7,2022,7.34,https://myanimelist.net/anime/50461/Otome_Game_Sekai_wa_Mob_ni_Kibishii_Sekai_desu
Princess Connect! Re:Dive,5.94,2020,1,6,2020,7.04,https://myanimelist.net/anime/39292/Princess_Connect_Re_Dive
Planetarian,5.93,2021,1,8,2016,7.56,https://myanimelist.net/anime/33091/Planetarian__Chiisana_Hoshi_no_Yume
Koori Zokusei Danshi to Cool na Douryou Joshi,5.92,2023,1,5,2023,7.32,https://myanimelist.net/anime/52173/Koori_Zokusei_Danshi_to_Cool_na_Douryou_Joshi
Skull-face Bookseller Honda-san,5.91,2022,1,7,2018,7.29,https://myanimelist.net/anime/36317/Gaikotsu_Shotenin_Honda-san
Kakkou no Iinazuke,5.90,2022,1,5,2022,6.90,https://myanimelist.net/anime/48675/Kakkou_no_Iinazuke
B-Gata H-Kei,5.89,2023,1,6,2011,6.85,https://myanimelist.net/anime/7817/B-gata_H-kei
Kubo-san wa Mob wo Yurusanai,5.88,2023,1,4,2023,7.57,https://myanimelist.net/anime/51815/Kubo-san_wa_Mob_wo_Yurusanai
Ishuzoku Reviewers,5.88,2020,1,5,2020,7.42,https://myanimelist.net/anime/40010/Ishuzoku_Reviewers
Kawaii dake ja Nai Shikimori-san,5.86,2022,1,4,2022,6.93,https://myanimelist.net/anime/45613/Kawaii_dake_ja_Nai_Shikimori-san
Another,5.85,2020,1,6,2012,7.47,https://myanimelist.net/anime/11111/Another
Tasogare Otome x Amnesia,5.84,2022,1,7,2012,7.82,https://myanimelist.net/anime/12445/Tasogare_Otome_x_Amnesia
Drifting Home,5.83,2023,1,4,2019,7.31,https://myanimelist.net/anime/49938/Ame_wo_Tsugeru_Hyouryuu_Danchi
Her Blue Sky,5.81,2021,1,6,2019,7.48,https://myanimelist.net/anime/39569/Sora_no_Aosa_wo_Shiru_Hito_yo
Akuyaku Reijou nano de Last Boss wo Kattemimashita,5.77,2022,1,7,2022,7.22,https://myanimelist.net/anime/49979/Akuyaku_Reijou_nano_de_Last_Boss_wo_Kattemimashita
Sasaki to Miyano,5.76,2022,1,5,2022,8.22,https://myanimelist.net/anime/44055/Sasaki_to_Miyano
Maoyuu Maou Yuusha,5.74,2020,1,4,2013,7.23,https://myanimelist.net/anime/14833/Maoyuu_Maou_Yuusha
Asagao to Kase-san.,5.73,2022,1,5,2018,7.70,https://myanimelist.net/anime/36214/Asagao_to_Kase-san
Fantasy Bishoujo Juniku Ojisan to,5.72,2022,1,5,2022,7.14,https://myanimelist.net/anime/48997/Fantasy_Bishoujo_Juniku_Ojisan_to
Romantic Killer,5.71,2022,1,6,2022,8.01,https://myanimelist.net/anime/52865/Romantic_Killer
Given,5.70,2023,2,5,2019,8.32,https://myanimelist.net/anime/39533/Given
One Week Friends,5.69,2020,1,4,2014,7.52,https://myanimelist.net/anime/21327/Isshuukan_Friends
Rikei ga Koi ni Ochita no de Shoumei shitemita.,5.67,2020,1,5,2020,7.35,https://myanimelist.net/anime/38992/Rikei_ga_Koi_ni_Ochita_no_de_Shoumei_shitemita
Itazura na Kiss,5.65,2019,1,5,2008,7.41,https://myanimelist.net/anime/3731/Itazura_na_Kiss
Engaged to the Unidentified,5.64,2019,1,4,2014,7.37,https://myanimelist.net/anime/20541/Mikakunin_de_Shinkoukei
Ride Your Wave,5.62,2022,1,5,2019,7.61,https://myanimelist.net/anime/38594/Kimi_to_Nami_ni_Noretara
Umibe no Étranger,5.60,2021,1,6,2020,7.85,https://myanimelist.net/anime/40615/Umibe_no_%C3%89tranger
Denpa-teki na Kanojo,5.59,2021,1,7,2009,7.49,https://myanimelist.net/anime/5177/Denpa-teki_na_Kanojo
Ani ni Tsukeru Kusuri wa Nai!,5.58,2022,1,4,2017,7.48,https://myanimelist.net/anime/35015/Ani_ni_Tsukeru_Kusuri_wa_Nai
The Irregular at Magic High School *,5.57,2020,1,4,2014,7.39,https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei
Inu x Boku SS,5.55,2020,1,4,2012,7.37,https://myanimelist.net/anime/11013/Inu_x_Boku_SS
My Next Life as a Villainess: All Routes Lead to Doom!,5.53,2020,1,5,2020,7.46,https://myanimelist.net/anime/38555/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta?q=my%20next%20life%20as
Talentless Nana,5.51,2020,1,4,2020,7.18,https://myanimelist.net/anime/41619/Munou_na_Nana
Darker Than Black *,5.49,2023,0.5,6,2007,8.06,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha
Hello World,5.48,2022,1,6,2019,7.50,https://myanimelist.net/anime/38816/Hello_World
The World is Still Beautiful,5.46,2020,1,5,2014,7.59,https://myanimelist.net/anime/22101/Soredemo_Sekai_wa_Utsukushii
Gakkougurashi,5.45,2021,1,6,2015,7.62,https://myanimelist.net/anime/24765/Gakkougurashi
Boku no Kokoro no Yabai Yatsu,5.44,2023,1,5,2023,8.24,https://myanimelist.net/anime/52578/Boku_no_Kokoro_no_Yabai_Yatsu
Mangaka-san to Assistant-san to The Animation,5.43,2022,1,6,2014,7.09,https://myanimelist.net/anime/21863/Mangaka-san_to_Assistant-san_to_The_Animation
Dark Gathering,5.42,2023,1,5,2023,7.84,https://myanimelist.net/anime/52505/Dark_Gathering
Konobi,5.41,2019,1,4,2016,7.18,https://myanimelist.net/anime/31952/Kono_Bijutsubu_ni_wa_Mondai_ga_Aru
Boku ga Aishita Subete no Kimi e,5.40,2023,1,8,2022,7.48,https://myanimelist.net/anime/49834/Boku_ga_Aishita_Subete_no_Kimi_e?q=Boku%20ga%20Aishita%20Subete%20no%20Kimi%20e&cat=anime
Ore Monogatari!!,5.38,2022,1,4,2015,7.90,https://myanimelist.net/anime/28297/Ore_Monogatari
Burn the Witch,5.37,2021,1,5,2020,7.13,https://myanimelist.net/anime/41468/Burn_the_Witch
Rent-a-Girlfriend *,5.36,2020,1,4,2020,7.00,https://myanimelist.net/anime/40839/Kanojo_Okarishimasu
Musaigen no Phantom World,5.35,2022,1,6,2016,6.85,https://myanimelist.net/anime/31442/Musaigen_no_Phantom_World
Nazo no Kanojo X,5.33,2023,1,7,2012,7.23,https://myanimelist.net/anime/12467/Nazo_no_Kanojo_X
Tomodachi Game,5.31,2022,1,5,2022,7.72,https://myanimelist.net/anime/50273/Tomodachi_Game
Mieruko-chan,5.31,2021,1,5,2021,7.41,https://myanimelist.net/anime/48483/Mieruko-chan
Super Cub,5.30,2021,1,8,2021,7.44,https://myanimelist.net/anime/40685/Super_Cub
Soredemo Ayumu wa Yosetekuru,5.28,2022,1,5,2022,7.03,https://myanimelist.net/anime/45653/Soredemo_Ayumu_wa_Yosetekuru
Vampire Hunter D,5.27,2023,1,7,2000,7.93,https://myanimelist.net/anime/543/Vampire_Hunter_D_2000
Hoshi no Koe,5.25,2022,1,7,2002,7.11,https://myanimelist.net/anime/256/Hoshi_no_Koe
Wu Shan Wu Xing,5.23,2021,1,5,2020,7.81,https://myanimelist.net/anime/37936/Wu_Shan_Wu_Xing
Btooom!,5.22,2022,1,4,2012,7.28,https://myanimelist.net/anime/14345/Btooom
No Guns Life,5.20,2020,1,5,2019,6.86,https://myanimelist.net/anime/39539/No_Guns_Life
Shakunetsu Kabaddi,5.18,2021,1,5,2021,7.02,https://myanimelist.net/anime/42395/Shakunetsu_Kabaddi
Flavors of Youth,5.15,2022,1,5,2018,7.12,https://myanimelist.net/anime/37396
"Sing ""Yesterday"" for Me",5.13,2020,1,6,2020,6.87,https://myanimelist.net/anime/39710/Yesterday_wo_Utatte?q=sing%20yes
Fuuto Tantei,5.11,2022,1,6,2022,7.32,https://myanimelist.net/anime/48649/Fuuto_Tantei?q=fuuto%20tantei&cat=anime
3D Kanojo,5.08,2019,1,4,2018,6.85,https://myanimelist.net/anime/36793/3D_Kanojo__Real_Girl
Mamahaha no Tsurego ga Mottokano Datta,5.06,2022,1,6,2022,6.75,https://myanimelist.net/anime/49470/Mamahaha_no_Tsurego_ga_Motokano_datta
Mirai Nikki,5.04,2020,1,3,2011,7.40,https://myanimelist.net/anime/10620/Mirai_Nikki
Masamune-kun no Revenge,5.02,2020,1,5,2017,6.75,https://myanimelist.net/anime/33487/Masamune-kun_no_Revenge
Sankarea,5.01,2019,1,5,2012,7.28,https://myanimelist.net/anime/11499/Sankarea
Darling in the Franxx,4.98,2020,1,2,2018,7.20,https://myanimelist.net/anime/35849/Darling_in_the_FranXX
Kiss Him Not Me,4.95,2019,1,4,2016,6.96,https://myanimelist.net/anime/32899/Watashi_ga_Motete_Dousunda
Words Bubble Up Like Soda Pop,4.92,2021,1,4,2016,7.40,https://myanimelist.net/anime/39175/Cider_no_You_ni_Kotoba_ga_Wakiagaru?q=words%20bubble%20up%20like&cat=anime
Ao Chan Can't Study,4.90,2020,1,5,2016,6.71,https://myanimelist.net/anime/38778/Midara_na_Ao-chan_wa_Benkyou_ga_Dekinai
Koi wa Sekai Sefuku no Ato de,4.86,2022,1,6,2022,7.42,https://myanimelist.net/anime/48643/Koi_wa_Sekai_Seifuku_no_Ato_de
Koi to Senkyo to Chocolate,4.85,2019,1,5,2012,6.98,https://myanimelist.net/anime/12175/Koi_to_Senkyo_to_Chocolate
Vermeil in Gold,4.82,2022,1,5,2022,6.81,https://myanimelist.net/anime/51213/Kinsou_no_Vermeil__Gakeppuchi_Majutsushi_wa_Saikyou_no_Yakusai_to_Mahou_Sekai_wo_Tsukisusumu
Bokutachi no Remake,4.80,2021,1,5,2021,7.40,https://myanimelist.net/anime/40904/Bokutachi_no_Remake?q=bokutachi&cat=anime
Bibiophile Princess,4.79,2022,1,5,2022,6.86,https://myanimelist.net/anime/50923/Mushikaburi-hime
Scum's Wish,4.77,2020,1,6,2017,7.12,https://myanimelist.net/anime/32949/Kuzu_no_Honkai
Uzaki-chan wa Asobitai!,4.76,2020,1,5,2020,6.99,https://myanimelist.net/anime/41226/Uzaki-chan_wa_Asobitai?q=uzaki
"Yuusha, Yamemasu",4.74,2022,1,6,2022,7.02,https://myanimelist.net/anime/50175/Yuusha_Yamemasu
God Eater *,4.72,2020,0.5,4,2015,7.19,https://myanimelist.net/anime/27631/God_Eater
The Misfit of Demon King Academy,4.69,2020,1,4,2020,7.37,https://myanimelist.net/anime/40496/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e
Jaku-Chara Tomozaki-kun,4.67,2021,1,6,2021,7.12,https://myanimelist.net/anime/40530/Jaku-Chara_Tomozaki-kun
"Inari, Konkon, Koi Iroha",4.65,2022,1,5,2014,7.19,https://myanimelist.net/anime/20457/Inari_Konkon_Koi_Iroha
A Whisker Away,4.62,2021,1,3,2020,7.34,https://myanimelist.net/anime/41168/Nakitai_Watashi_wa_Neko_wo_Kaburu
Momokuri,4.60,2022,1,4,2015,7.05,https://myanimelist.net/anime/30014/Momokuri
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,4.56,2023,1,6,2023,7.22,https://myanimelist.net/anime/50652/Tsundere_Akuyaku_Reijou_Liselotte_to_Jikkyou_no_Endou-kun_to_Kaisetsu_no_Kobayashi-san
"Ijiranaide, Nagatoro-san",4.53,2021,1,4,2021,7.26,https://myanimelist.net/anime/42361/Ijiranaide_Nagatoro-san
Elfen Lied,4.50,2020,1,6,2004,7.47,https://myanimelist.net/anime/226/Elfen_Lied
"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense",4.47,2020,1,5,2020,7.53,https://myanimelist.net/anime/38790/Itai_no_wa_Iya_nano_de_Bougyoryoku_ni_Kyokufuri_Shitai_to_Omoimasu/stats
Rec,4.45,2023,1,6,2006,7.28,https://myanimelist.net/anime/710/Rec
Highschool of the Dead,4.44,2020,1,3,2010,7.07,https://myanimelist.net/anime/8074/Highschool_of_the_Dead
Hige wo Soru. Soshite Joshikousei wo Hirou,4.40,2021,1,6,2021,7.28,https://myanimelist.net/anime/40938/Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou
The God of High School,4.36,2020,1,4,2020,7.07,https://myanimelist.net/anime/41353/The_God_of_High_School?q=god%20of%20high
Tejina-senpai,4.33,2020,1,5,2019,6.40,https://myanimelist.net/anime/38610/Tejina-senpai
Danna ga Nani wo Itteiru ka Wakaranai Ken *,4.31,2020,0.5,5,2014,7.28,https://myanimelist.net/anime/26349/Danna_ga_Nani_wo_Itteiru_ka_Wakaranai_Ken
The Fruit of Grisaia *,4.27,2020,0.5,6,2014,7.47,https://myanimelist.net/anime/17729/Grisaia_no_Kajitsu
Netoge no Yome wa Onnanoko ja Nai to Omotta?,4.24,2022,1,6,2016,6.69,https://myanimelist.net/anime/31404/Netoge_no_Yome_wa_Onnanoko_ja_Nai_to_Omotta
Osake wa Fuufu ni Natte kara,4.20,2020,1,5,2017,6.96,https://myanimelist.net/anime/35484/Osake_wa_Fuufu_ni_Natte_kara
"I'm standing on 1,000,000 lives",4.18,2020,1,5,2020,6.51,https://myanimelist.net/anime/41380/100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru
Darwin's Game,4.16,2022,1,4,2020,7.22,https://myanimelist.net/anime/38656/Darwins_Game
By the Grace of the Gods,4.12,2020,1,6,2020,6.98,https://myanimelist.net/anime/41312/Kami-tachi_ni_Hirowareta_Otoko
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,4.07,2021,1,5,2021,7.35,https://myanimelist.net/anime/47790/Sekai_Saikou_no_Ansatsusha_Isekai_Kizoku_ni_Tensei_suru?q=the%20world%27s%20fines&cat=anime
Ore wo Suki nano wa Omae dake ka yo,4.03,2022,1,5,2019,7.31,https://myanimelist.net/anime/38483/Ore_wo_Suki_nano_wa_Omae_dake_ka_yo
Eromanga Sensei,3.97,2020,1,4,2017,6.34,https://myanimelist.net/anime/32901/Eromanga-sensei
Aho Girl,3.92,2020,1,5,2017,6.74,https://myanimelist.net/anime/34881/Aho_Girl?q=aho%20girl
"Why the Hell Are You Here, Teacher!?",3.90,2019,1,4,2019,6.51,https://myanimelist.net/anime/38397/Nande_Koko_ni_Sensei_ga
Our Last Crusade or the Rise of a New World,3.85,2020,1,5,2020,6.67,https://myanimelist.net/anime/40595/Kimi_to_Boku_no_Saigo_no_Senjou_Aruiwa_Sekai_ga_Hajimaru_Seisen
Noblesse,3.80,2020,1,6,2020,6.89,https://myanimelist.net/anime/41345/Noblesse
How Not to Summon a Demon Lord,3.76,2022,1,5,2018,6.85,https://myanimelist.net/anime/37210/Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu
The Detective is Already Dead,3.73,2021,1,6,2021,6.39,https://myanimelist.net/anime/46471/Tantei_wa_Mou_Shindeiru
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",3.70,2023,1,4,2023,6.75,https://myanimelist.net/anime/52990/Keikenzumi_na_Kimi_to_Keiken_Zero_na_Ore_ga_Otsukiai_suru_Hanashi
Assault Lily: Boquet ,3.68,2020,1,7,2020,6.48,https://myanimelist.net/anime/40550/Assault_Lily__Bouquet
Aharen-san wa Hakarenai,3.65,2022,1,5,2022,7.29,https://myanimelist.net/anime/49520/Aharen-san_wa_Hakarenai
Accel World,3.61,2022,1,5,2012,7.22,https://myanimelist.net/anime/11759/Accel_World
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,3.57,2020,1,5,2013,6.91,https://myanimelist.net/anime/14749/Ore_no_Kanojo_to_Osananajimi_ga_Shuraba_Sugiru
Domestic Girlfriend,3.55,2020,1,4,2019,6.66,https://myanimelist.net/anime/37982/Domestic_na_Kanojo
Death March to the Parallel World Rhapsody,3.50,2020,1,5,2018,6.45,https://myanimelist.net/anime/34497/Death_March_kara_Hajimaru_Isekai_Kyousoukyoku
Koroshi Ai,3.46,2022,1,5,2022,6.91,https://myanimelist.net/anime/44516/Koroshi_Ai
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,3.43,2021,1,5,2021,6.33,https://myanimelist.net/anime/40594/Tatoeba_Last_Dungeon_Mae_no_Mura_no_Shounen_ga_Joban_no_Machi_de_Kurasu_Youna_Monogatari
Amagami SS,3.40,2019,1,5,2010,7.29,https://myanimelist.net/anime/8676/Amagami_SS
The Hidden Dungeon Only I can Enter,3.35,2021,1,5,2021,6.29,https://myanimelist.net/anime/41899/Ore_dake_Haireru_Kakushi_Dungeon?q=ore%20dake&cat=anime
Osananajimi ga Zettai Makenai Love Comedy,3.31,2021,1,5,2021,6.07,https://myanimelist.net/anime/43007/Osananajimi_ga_Zettai_ni_Makenai_Love_Comedy
Gamers!,3.27,2019,1,5,2017,6.75,https://myanimelist.net/anime/34280/Gamers
Akkun to Kanojo,3.22,2019,1,4,2018,6.82,https://myanimelist.net/anime/36864/Akkun_to_Kanojo
Orenchi no Furo Jijou,3.14,2022,1,5,2014,6.95,https://myanimelist.net/anime/24211/Orenchi_no_Furo_Jijou
Puka Puka Juju,3.11,2020,1,4,2012,6.62,https://myanimelist.net/anime/13173/Puka_Puka_Juju
Engage Kiss,3.08,2022,1,6,2022,6.82,https://myanimelist.net/anime/51417/Engage_Kiss
2.43: Seiin Koukou Danshi Volley-bu,3.03,2021,1,6,2021,6.14,https://myanimelist.net/anime/40679/243__Seiin_Koukou_Danshi_Volley-bu
"Omoi, Omoware, Furi, Furare",2.86,2022,1,5,2020,7.26,https://myanimelist.net/anime/39753/Omoi_Omoware_Furi_Furare
I've Always Liked You *,2.85,2022,1,5,2016,7.21,https://myanimelist.net/anime/31245/Zutto_Mae_kara_Suki_deshita__Kokuhaku_Jikkou_Iinkai
King's Raid: Ishi wo Tsugumono-tachi,2.81,2020,1,5,2020,6.04,https://myanimelist.net/anime/41834/Kings_Raid__Ishi_wo_Tsugumono-tachi
Our love has always been 10 centimeters apart,2.75,2020,1,5,2017,7.46,https://myanimelist.net/anime/36220/Itsudatte_Bokura_no_Koi_wa_10_cm_Datta
Say I Love you,2.63,2019,1,4,2012,7.41,https://myanimelist.net/anime/14289/Sukitte_Ii_na_yo
Monster Musume no Oishasan,2.55,2020,1,5,2020,6.53,https://myanimelist.net/anime/40708/Monster_Musume_no_Oishasan
Deji Meets Girl,2.43,2022,1,6,2021,6.15,https://myanimelist.net/anime/49505/Deji_Meets_Girl
Koi to Yobu ni wa Kimochi Warui,2.34,2021,1,5,2021,7.14,https://myanimelist.net/anime/41103/Koi_to_Yobu_ni_wa_Kimochi_Warui
Hajimete no Gal ,2.25,2019,1,5,2017,6.28,https://myanimelist.net/anime/34403/Hajimete_no_Gal
Redo of Healer,2.10,2021,1,5,2021,6.34,https://myanimelist.net/anime/40750/Kaifuku_Jutsushi_no_Yarinaoshi
Peter Grill and the Philosopher's Time  *,1.85,2020,1,5,2020,5.52,https://myanimelist.net/anime/40436/Peter_Grill_to_Kenja_no_Jikan
School Days,1.60,2020,1,6,2007,5.52,https://myanimelist.net/anime/2476/School_Days
Ex-Arm,1.00,2021,1,5,2021,2.89 (outlier),https://myanimelist.net/anime/38853/Ex-Arm?q=ex-arm&cat=anime
